Step	Hold	Plan	Calc	Diff	Start Error	Goal Error
0	0.0000	0.3590	2.8768	2.5178	0.0000	0.4926
1	140.0000	1.0319	1.7882	0.7563	0.4926	0.2245
2	31.0000	0.0382	0.6121	0.5739	0.2245	0.5154
3	91.0000	0.0066	1.5382	1.5316	0.5154	0.3631
4	37.0000	0.0982	0.0212	-0.0770	0.3631	0.4847
5	66.0000	0.0107	4.5234	4.5127	0.4847	0.3033
6	58.0000	0.0102	0.0588	0.0486	0.3033	0.2785
7	151.0000	0.0064	0.0156	0.0092	0.2785	0.4787
8	194.0000	0.0075	0.0248	0.0173	0.4787	0.3258
9	68.0000	0.0071	0.0423	0.0352	0.3258	0.3980
10	103.0000	0.0140	0.0085	-0.0055	0.3980	0.4431
11	87.0000	0.0074	0.0053	-0.0021	0.4431	0.2635
12	133.0000	0.0155	0.0452	0.0297	0.2635	0.4707
13	12.0000	0.0554	0.0073	-0.0480	0.4707	0.3985
14	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
